Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,Age-standardized death rate per 100 000 standard population,Death rate per 100 000 population
EU,Europe,ALB,Albania,1994,Female,Age05_09,[5-9],0,0,,0
EU,Europe,ALB,Albania,1995,Female,Age05_09,[5-9],0,0,,0
EU,Europe,ALB,Albania,1995,Female,Age10_14,[10-14],2,5,,1.19760479
EU,Europe,ALB,Albania,2006,Female,Age05_09,[5-9],0,0,,0
EU,Europe,ALB,Albania,2010,Female,Age10_14,[10-14],2,7.69230769,,1.62040413
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1963,Female,Age05_09,[5-9],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1963,Female,Age10_14,[10-14],,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1964,Female,Age05_09,[5-9],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1964,Female,Age10_14,[10-14],,,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1966,Female,Age05_09,[5-9],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1969,Female,Age05_09,[5-9],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1972,Female,Age10_14,[10-14],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1974,Female,Age05_09,[5-9],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1974,Female,Age10_14,[10-14],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1977,Female,Age10_14,[10-14],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1983,Female,Age05_09,[5-9],0,0,,
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1985,Female,Age10_14,[10-14],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1986,Female,Age10_14,[10-14],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1988,Female,Age05_09,[5-9],0,0,,0
NAC,North America and the Caribbean,ATG,Antigua and Barbuda,1989,Female,Age05_09,[5-9],0,0,,0
EU,Europe,ALB,Albania,1987,Female,Age05_09,[5-9],0,0,,0
EU,Europe,ALB,Albania,1988,Female,Age10_14,[10-14],0,0,,0
EU,Europe,ALB,Albania,1989,Female,Age05_09,[5-9],0,0,,0
EU,Europe,ALB,Albania,1992,Female,Age10_14,[10-14],0,0,,0
EU,Europe,ALB,Albania,1993,Female,Age05_09,[5-9],0,0,,0
EU,Europe,ALB,Albania,1996,Female,Age10_14,[10-14],1,2.04081633,,0.58962264
EU,Europe,ALB,Albania,1997,Female,Age10_14,[10-14],6,14.28571429,,3.46220427
